time,signal
0,0.0
1,0.1631812231363151
2,0.3252743303897672
3,0.48519846159081487
4,0.6418872196144191
5,0.7942957812695612
6,0.9414078643306651
7,1.0822425042537518
8,1.215860595389211
9,1.34137115307344
10,1.457937254842823
11,1.5647816211531764
12,1.6611917983916253
13,1.7465249096198403
14,1.8202119413699915
15,1.8817615379084511
16,1.9307632776665478
17,1.9668904099906594
18,1.9899020339626003
19,1.999644704761618
20,1.9960534568565431
21,1.9791522372053019
22,1.9490537455731543
23,1.9059586830344375
24,1.850154413668916
25,1.7820130483767358
26,1.7019889635893835
27,1.610615771422244
28,1.5085027614722073
29,1.3963308379869446
30,1.274847979497379
31,1.1448642511891816
32,1.0072464032715212
33,0.8629120913619177
34,0.7128237574265016
35,0.5579822120784582
36,0.3994199610288141
37,0.23819432018973907
38,0.07538036533986818
39,-0.0879362366357303
40,-0.25066646712860857
41,-0.4117252175397632
42,-0.5700385249399524
43,-0.7245507334090912
44,-0.8742315333018669
45,-1.0180828315007433
46,-1.1551454068445355
47,-1.2845053063531695
48,-1.4052999395976986
49,-1.5167238305774444
50,-1.6180339887498947
51,-1.7085548633985903
52,-1.7876828483025278
53,-1.854890306669323
54,-1.909729089493286
55,-1.9518335238774949
56,-1.9809228513933026
57,-1.99680310021795
58,-1.9993683785665999
59,-1.9886015807939976
60,-1.9645745014573772
61,-1.9274473565800194
62,-1.8774677153077481
63,-1.8149688490822342
64,-1.7403675093390507
65,-1.6541611485491228
66,-1.5569246031340465
67,-1.4493062603740927
68,-1.3320237348685036
69,-1.2058590833780494
70,-1.0716535899579926
71,-0.9303021561549157
72,-0.782747333674405
73,-0.6299730393106093
74,-0.4729979940474486
75,-0.3128689300804622
76,-0.15065361105586367
77,0.012566287931118407
78,0.17570239310148733
79,0.33766688942546746
80,0.49737977432970976
81,0.6537760593098856
82,0.8058128714273264
83,0.9524764073358797
84,1.0927886934685385
85,1.2258141073059536
86,1.3506656162420485
87,1.4665106924451201
88,1.5725768642732392
89,1.668156867226343
90,1.7526133600877278
91,1.8253831748070057
92,1.8859810717857293
93,1.93400297552487
